id,data,tipo,direzione,documento_id,documento_numero,controparte,importo_cents,stato,fonte_csv,descrizione
trx-0092,2025-06-23,ddt,entrata,ddt-020,DDT-2025-020,Cantiere Blu S.r.l.,127212,emesso,ddt.csv,Saldo consegna frazionata.
trx-0110,2025-06-24,fattura_vendita,entrata,fv-018,FV-2025-018,Cantiere Blu S.r.l.,363462,emessa,fatture_vendita.csv,Fattura demo.
trx-0146,2025-06-25,incasso,entrata,pag-020,DEMO-SAL-10,Casa Radice S.r.l.,376963,saldo,pagamenti.csv,Saldo sintetico.
trx-0167,2025-06-26,scadenza_incasso,entrata,fv-011,FV-2025-011,Progetto Quercia S.r.l.,276696,incassata,scadenze.csv,Scadenza cliente demo.
trx-0048,2025-06-27,preventivo,entrata,pre-030,PRE-2025-030,Studio Cedro Associati,334534,scaduto,preventivi.csv,Preventivo demo.
trx-0148,2025-06-29,incasso,entrata,pag-022,DEMO-SAL-11,Progetto Quercia S.r.l.,193687,saldo,pagamenti.csv,Saldo sintetico.
trx-0168,2025-06-30,scadenza_incasso,entrata,fv-012,FV-2025-012,Corte Antica Hospitality S.r.l.,487206,incassata,scadenze.csv,Scadenza cliente demo.
trx-0150,2025-07-03,incasso,entrata,pag-024,DEMO-SAL-12,Corte Antica Hospitality S.r.l.,341044,saldo,pagamenti.csv,Saldo sintetico.
trx-0169,2025-07-04,scadenza_incasso,entrata,fv-013,FV-2025-013,Linea Restauro S.r.l.,204448,parziale,scadenze.csv,Scadenza cliente demo.
trx-0170,2025-07-08,scadenza_incasso,entrata,fv-014,FV-2025-014,Spazio Materico S.r.l.,303721,parziale,scadenze.csv,Scadenza cliente demo.
trx-0152,2025-07-11,incasso,entrata,pag-026,DEMO-PAR-13,Linea Restauro S.r.l.,20445,acconto,pagamenti.csv,Pagamento parziale sintetico.
trx-0171,2025-07-12,scadenza_incasso,entrata,fv-015,FV-2025-015,Rovere Contract S.r.l.,591554,parziale,scadenze.csv,Scadenza cliente demo.
trx-0154,2025-07-15,incasso,entrata,pag-028,DEMO-PAR-14,Spazio Materico S.r.l.,30372,acconto,pagamenti.csv,Pagamento parziale sintetico.
trx-0172,2025-07-16,scadenza_incasso,entrata,fv-016,FV-2025-016,Architettura Viva S.r.l.,368928,aperta,scadenze.csv,Scadenza cliente demo.
trx-0156,2025-07-19,incasso,entrata,pag-030,DEMO-PAR-15,Rovere Contract S.r.l.,59156,acconto,pagamenti.csv,Pagamento parziale sintetico.
trx-0173,2025-07-20,scadenza_incasso,entrata,fv-017,FV-2025-017,Borgo Nuovo Resort S.r.l.,239520,aperta,scadenze.csv,Scadenza cliente demo.
trx-0174,2025-07-24,scadenza_incasso,entrata,fv-018,FV-2025-018,Cantiere Blu S.r.l.,363462,aperta,scadenze.csv,Scadenza cliente demo.
